field,min,max,mean,std,p05,p25,p50,p75,p95
professional_persona,60,306,159.480302,30.267233737066807,105.0,140.0,163.0,181.0,206.0
sports_persona,51,293,133.727157,26.191898092976775,87.0,116.0,137.0,152.0,173.0
arts_persona,54,260,138.19571,26.284283335473397,91.0,121.0,142.0,157.0,177.0
travel_persona,51,248,135.124236,26.419991737929386,87.0,119.0,139.0,153.0,174.0
culinary_persona,59,277,142.047518,27.883639208988036,93.0,124.0,146.0,162.0,183.0
family_persona,58,252,143.971586,27.914557561729907,93.0,126.0,149.0,164.0,183.0
persona,42,174,81.491893,10.568376032632578,65.0,74.0,81.0,88.0,100.0
cultural_background,55,299,135.298291,28.751921260192244,87.0,112.0,139.0,156.0,179.0
career_goals_and_ambitions,47,243,118.262841,25.52195668398078,80.0,95.0,121.0,138.0,158.0
